Date, Name , Memo , Barclays 53895114 , Vat , Net , Purchase / Direct Cost ,,,,,,,,,,,,,,,,,,,,,,,,,
6-Oct-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 40,000.00 "," 6,666.67 "," 33,333.33 "," 33,333.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 25,000.00 "," 4,166.67 "," 20,833.33 "," 20,833.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 25,000.00 "," 4,166.67 "," 20,833.33 "," 20,833.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 45,662.21 "," 7,610.37 "," 38,051.84 "," 38,051.84 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
1-Dec-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 40,000.00 "," 6,666.67 "," 33,333.33 "," 33,333.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
2-Dec-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
9-Dec-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 45,000.00 "," 7,500.00 "," 37,500.00 "," 37,500.00 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
5-Jan-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
7-Jan-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 36,004.10 "," 6,000.68 "," 30,003.42 "," 30,003.42 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 25,000.00 "," 4,166.67 "," 20,833.33 "," 20,833.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 25,000.00 "," 4,166.67 "," 20,833.33 "," 20,833.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
7-Apr-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
8-Apr-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
10-May-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 25,000.00 "," 4,166.67 "," 20,833.33 "," 20,833.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
11-May-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 40,000.00 "," 6,666.67 "," 33,333.33 "," 33,333.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     7759 BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
6-Jul-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     7759 BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 11,000.00 "," 1,833.33 "," 9,166.67 "," 9,166.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
