Date, Name , Memo , Barclays 53895114 ,,,,,,,,,,,,,,,,,,,,,,,
11-Oct-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
11-Oct-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
9-Nov-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
10-Nov-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 45,662.21 ",,,,,,,,,,,,,,,,,,,,,,,
1-Dec-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 40,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
2-Dec-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
9-Dec-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 45,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
5-Jan-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
7-Jan-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
8-Feb-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 36,004.10 ",,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
11-Mar-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
7-Apr-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
8-Apr-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
10-May-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
11-May-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 40,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
10-Jun-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     7759 BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
6-Jul-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     7759 BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
8-Aug-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
8-Sep-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
11-Nov-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 11,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
11-Nov-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
